"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
0.117647058823529,0,0,0.294117647058824,0.0882352941176471,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0294117647058824,-19
0.0476190476190476,0,0,0.348837209302326,0.146341463414634,0.0465116279069767,0.0465116279069767,0.0465116279069767,0.0465116279069767,-18
0.113207547169811,0.0192307692307692,0,0.30188679245283,0.16,0.0943396226415094,0.0943396226415094,0.0754716981132075,0.0566037735849057,-17
0.027027027027027,0,0,0.297297297297297,0.324324324324324,0.0810810810810811,0.135135135135135,0.0810810810810811,0.0810810810810811,-16
0.0188679245283019,0.0384615384615385,0,0.169811320754717,0.153846153846154,0.0943396226415094,0.150943396226415,0.0943396226415094,0.0943396226415094,-15
0.072463768115942,0.0147058823529412,0.0147058823529412,0.36231884057971,0.0298507462686567,0.101449275362319,0.101449275362319,0.072463768115942,0.115942028985507,-14
0,0.0158730158730159,0,0.2,0.153846153846154,0.0615384615384615,0.0615384615384615,0.0769230769230769,0.0923076923076923,-13
0,0,0,0.206896551724138,0.103448275862069,0.0862068965517241,0.120689655172414,0.0689655172413793,0.103448275862069,-12
0,0,0.02,0.28,0.1,0.08,0.1,0.02,0.06,-11
0.0178571428571429,0,0,0.25,0.0892857142857143,0.0714285714285714,0.0714285714285714,0.0357142857142857,0.0535714285714286,-10
0.0204081632653061,0,0,0.142857142857143,0.0204081632653061,0.0408163265306122,0.0612244897959184,0.0204081632653061,0.0204081632653061,-9
0.0465116279069767,0,0,0.186046511627907,0.116279069767442,0,0,0.0465116279069767,0.0697674418604651,-8
0,0,0.0149253731343284,0.238805970149254,0.0447761194029851,0.0746268656716418,0.0746268656716418,0.0149253731343284,0.0447761194029851,-7
0.0232558139534884,0.0181818181818182,0.0181818181818182,0.290909090909091,0.0545454545454545,0.0181818181818182,0.0181818181818182,0.0363636363636364,0.0545454545454545,-6
0.0217391304347826,0,0,0.230769230769231,0.134615384615385,0.0576923076923077,0.0576923076923077,0.0576923076923077,0.0576923076923077,-5
0.02,0.0535714285714286,0.0357142857142857,0.178571428571429,0.0892857142857143,0.142857142857143,0.142857142857143,0.0714285714285714,0.125,-4
0,0,0,0.317073170731707,0.146341463414634,0.024390243902439,0.024390243902439,0.024390243902439,0.0487804878048781,-3
0.0238095238095238,0,0.0238095238095238,0.30952380952381,0.0714285714285714,0.0476190476190476,0.0476190476190476,0.0476190476190476,0.0476190476190476,-2
0,0,0,0.315789473684211,0.105263157894737,0.0350877192982456,0.0350877192982456,0.0175438596491228,0.0350877192982456,-1
0,0,0,0.340909090909091,0.113636363636364,0.0909090909090909,0.0909090909090909,0.0681818181818182,0.0681818181818182,0
