"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
1,0,0,0.25,0.25,0,0,0,0,-19
1,0,0,0.5,0.5,0,0,0,0,-18
0.714285714285714,0.142857142857143,0,0.428571428571429,0.2,0,0,0,0,-17
0,0,0,0,0.5,0.5,0.5,0,0,-16
0,0.125,0,0.25,0.142857142857143,0.125,0.125,0.125,0.125,-15
0.0588235294117647,0.0588235294117647,0,0.470588235294118,0,0.0588235294117647,0.0588235294117647,0.117647058823529,0.117647058823529,-14
0,0,0,0.4,0.2,0.2,0.2,0.2,0.2,-13
0,0,0,0.4,0.2,0,0,0,0,-12
0,0,0,0,0,0,0,0,0,-11
0,0,0,0.444444444444444,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-10
1,0,0,0,1,0,0,0,0,-9
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8
NaN,0,0,0.166666666666667,0,0,0,0,0,-7
NaN,0.0833333333333333,0,0.333333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,-6
NaN,0,0,0.333333333333333,0.166666666666667,0,0,0,0,-5
NaN,0.166666666666667,0,0,0.333333333333333,0,0,0.166666666666667,0.166666666666667,-4
0,0,0,0,0,0.25,0.25,0.25,0.25,-3
0,0,0,0.4,0,0,0,0,0,-2
0,0,0,0.454545454545455,0,0,0,0,0,-1
0,0,0,0.75,0.25,0.25,0.25,0.25,0.25,0
