"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
0.2,0,0,0.2,0.15,0.05,0.05,0.05,0.05,-19
0.0625,0,0,0.393939393939394,0.1875,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0303030303030303,-18
0.127659574468085,0.0217391304347826,0,0.319148936170213,0.181818181818182,0.0851063829787234,0.0851063829787234,0.0638297872340425,0.0638297872340425,-17
0.032258064516129,0,0,0.32258064516129,0.387096774193548,0.0967741935483871,0.161290322580645,0.0967741935483871,0.0967741935483871,-16
0.024390243902439,0.05,0,0.121951219512195,0.15,0.121951219512195,0.195121951219512,0.0975609756097561,0.0975609756097561,-15
0.087719298245614,0.0178571428571429,0,0.350877192982456,0.0363636363636364,0.087719298245614,0.087719298245614,0.0701754385964912,0.12280701754386,-14
0,0.0222222222222222,0,0.191489361702128,0.212765957446809,0.0851063829787234,0.0851063829787234,0.106382978723404,0.127659574468085,-13
0,0,0,0.275,0.1,0.075,0.1,0.075,0.125,-12
0,0,0,0.3,0.1,0.1,0.133333333333333,0,0.0666666666666667,-11
0.027027027027027,0,0,0.243243243243243,0.135135135135135,0.0540540540540541,0.0540540540540541,0.0540540540540541,0.0540540540540541,-10
0.027027027027027,0,0,0.189189189189189,0.027027027027027,0.0540540540540541,0.0810810810810811,0.027027027027027,0.027027027027027,-9
0.0625,0,0,0.25,0.125,0,0,0.03125,0.0625,-8
0,0,0.0185185185185185,0.259259259259259,0.0555555555555556,0.0925925925925926,0.0925925925925926,0.0185185185185185,0.0555555555555556,-7
0.037037037037037,0.0256410256410256,0.0256410256410256,0.333333333333333,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0512820512820513,0.0769230769230769,-6
0.0344827586206897,0,0,0.314285714285714,0.171428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,0.0571428571428571,-5
0.027027027027027,0.0697674418604651,0.0465116279069767,0.209302325581395,0.0930232558139535,0.13953488372093,0.13953488372093,0.0697674418604651,0.13953488372093,-4
0,0,0,0.393939393939394,0.151515151515152,0.0303030303030303,0.0303030303030303,0.0303030303030303,0.0606060606060606,-3
0.037037037037037,0,0,0.407407407407407,0.111111111111111,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.0740740740740741,-2
0,0,0,0.275,0.15,0.05,0.05,0.025,0.05,-1
0,0,0,0.321428571428571,0.107142857142857,0.107142857142857,0.107142857142857,0.107142857142857,0.107142857142857,0
