"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
0,0,0,0.428571428571429,0,0,0,0,0,-19
0,0,0,0.2,0,0.1,0.1,0.1,0.1,-18
0,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,-17
0,0,0,0.166666666666667,0,0,0,0,0,-16
0,0,0,0.333333333333333,0.166666666666667,0,0,0.0833333333333333,0.0833333333333333,-15
0,0,0.0833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,0.0833333333333333,0.0833333333333333,-14
0,0,0,0.222222222222222,0,0,0,0,0,-13
0,0,0,0.0555555555555556,0.111111111111111,0.111111111111111,0.166666666666667,0.0555555555555556,0.0555555555555556,-12
0,0,0.05,0.25,0.1,0.05,0.05,0.05,0.05,-11
0,0,0,0.263157894736842,0,0.105263157894737,0.105263157894737,0,0.0526315789473684,-10
0,0,0,0,0,0,0,0,0,-9
0,0,0,0,0.0909090909090909,0,0,0.0909090909090909,0.0909090909090909,-8
0,0,0,0.153846153846154,0,0,0,0,0,-7
0,0,0,0.133333333333333,0,0,0,0,0,-6
0,0,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,-5
0,0,0,0,0,0.0909090909090909,0.0909090909090909,0,0,-4
0,0,0,0,0.125,0,0,0,0,-3
0,0,0,0.166666666666667,0,0,0,0,0,-2
0,0,0,0.428571428571429,0,0,0,0,0,-1
0,0,0,0.375,0.125,0.0625,0.0625,0,0,0
