"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
0,0,0,0.166666666666667,0.166666666666667,0,0,0,0,-19
0,0,0,0.304347826086957,0.173913043478261,0,0,0,0,-18
0,0,0,0.172413793103448,0.214285714285714,0.103448275862069,0.103448275862069,0.0689655172413793,0.0689655172413793,-17
0.0434782608695652,0,0,0.391304347826087,0.391304347826087,0.0434782608695652,0.130434782608696,0.130434782608696,0.130434782608696,-16
0,0.0416666666666667,0,0.08,0.2,0.12,0.12,0.12,0.12,-15
0,0,0,0.32,0.08,0.08,0.08,0.04,0.12,-14
0,0.0344827586206897,0,0.225806451612903,0.258064516129032,0.0645161290322581,0.0645161290322581,0.129032258064516,0.161290322580645,-13
0,0,0,0.230769230769231,0.0384615384615385,0.0769230769230769,0.115384615384615,0.0769230769230769,0.153846153846154,-12
0,0,0,0.529411764705882,0.176470588235294,0,0,0,0.0588235294117647,-11
0,0,0,0.214285714285714,0.142857142857143,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.0714285714285714,-10
0,0,0,0.142857142857143,0,0.0952380952380952,0.142857142857143,0.0476190476190476,0.0476190476190476,-9
0,0,0,0.285714285714286,0.0476190476190476,0,0,0.0476190476190476,0.0476190476190476,-8
0,0,0,0.28125,0.0625,0.0625,0.0625,0,0.03125,-7
0,0,0.0434782608695652,0.391304347826087,0.0869565217391304,0,0,0,0.0434782608695652,-6
0,0,0,0.277777777777778,0.166666666666667,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-5
0,0.0645161290322581,0.0645161290322581,0.225806451612903,0.0645161290322581,0.161290322580645,0.161290322580645,0.0645161290322581,0.129032258064516,-4
0,0,0,0.478260869565217,0.217391304347826,0,0,0,0,-3
0,0,0,0.5,0.166666666666667,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,-2
0,0,0,0.208333333333333,0.25,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0833333333333333,-1
0,0,0,0.238095238095238,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0.0952380952380952,0
