"Patients with suboptimal cell dose","Patients with primary graft failure","Patients with secondary graft failure","Patients readmitted within 30 days","Number of Output HCT","Patients with 3rd or 4th grade GVHD within 100 days","Admit ICU Transfers?","X of Admit ICU Transfers?","Days in ICU/POU/PICU","100 day mortality on relapse?","100 day mortality?","Ordered Quarter"
0,0,0,0,0,0,0,0,0,0,0,-19
0,0,0,0.5,0,0,0.5,0.666666666666667,0.666666666666667,0,0,-18
0,1,0,0,0,0,0,0,0,0,0,-17
0,0,0,0,0,0,1,1,NaN,0,0,-16
0,0,0,0.5,0,0,0,0,0,0,0,-15
0,0,0,0,0,0,0,0,0,0,0,-14
0,0,0,0.25,0.25,0,0.25,0.25,0.25,0,0,-13
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11
0,0,0,1,0,0.333333333333333,0,0,0,0,0,-10
0,0,0,0.166666666666667,0,0,0,0,0,0,0,-9
0,0,0,0,0,0,0,0,0,0,0,-8
0,0,0,0,0,0,0,0,0,0,0,-7
0,0,0,0,0.5,0.5,0,0,0,0,0,-6
0,0,0,0,0,0,0,0,0,0,0,-5
0,0,0,0,0,0,1,2,NaN,0,0,-4
0,0,1,0,NaN,0.25,1,NaN,NaN,0,0,-3
0,0,0,0,NaN,0,0,0,NaN,0,0,-2
0,0,0,1,NaN,0,0,0,NaN,0,0,-1
0,0,0.125,0.125,NaN,0.25,0.25,0.375,NaN,0.125,0.125,0
