"1","2","3","4","5","6","7","8","9","10","11"
"11,11","Split","Split","Split","Split","Split","Split","Split","Split","Split","Split"
"10,10","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand","Stand"
"9,9","Split","Split","Split","Split","Split","Stand","Split","Split","Stand","Stand"
"8,8","Split","Split","Split","Split","Split","Split","Split","Split","Split","Split"
"7,7","Split","Split","Split","Split","Split","Split","Hit","Hit","Hit","Hit"
"6,6","Split","Split","Split","Split","Split","Hit","Hit","Hit","Hit","Hit"
"5,5","Double","Double","Double","Double","Double","Double","Double","Double","Hit","Hit"
"4,4","Hit","Hit","Hit","Split","Split","Hit","Hit","Hit","Hit","Hit"
"3,3","Split","Split","Split","Split","Split","Split","Hit","Hit","Hit","Hit"
"2,2","Split","Split","Split","Split","Split","Split","Hit","Hit","Hit","Hit"
